T,x,p,s,X,P,S,t
SPY, 2, 371.89, 1, 2, 371.91, 5, 1608230458354000000
SPY, 2, 371.89, 2, 2, 371.91, 5, 1608230458355000000
SPY, 2, 371.89, 1, 2, 371.91, 5, 1608230458355000000
SPY, 2, 371.89, 1, 15, 371.91, 15, 1608230458355000000
SPY, 2, 371.89, 2, 15, 371.91, 15, 1608230458355000000
SPY, 2, 371.89, 2, 17, 371.91, 6, 1608230458355000000
SPY, 17, 371.89, 1, 17, 371.91, 6, 1608230458355000000
SPY, 2, 371.89, 2, 17, 371.91, 6, 1608230458355000000
SPY, 2, 371.89, 2, 17, 371.91, 1, 1608230458355000000
SPY, 2, 371.89, 1, 17, 371.91, 1, 1608230458356000000
SPY, 17, 371.89, 1, 17, 371.91, 1, 1608230458355000000
SPY, 2, 371.89, 2, 17, 371.91, 1, 1608230458356000000
SPY, 17, 371.89, 1, 17, 371.91, 1, 1608230458355000000
SPY, 15, 371.89, 1, 17, 371.91, 1, 1608230458356000000
SPY, 2, 371.89, 2, 17, 371.91, 1, 1608230458356000000
SPY, 17, 371.89, 1, 17, 371.91, 1, 1608230458355000000
SPY, 15, 371.89, 1, 17, 371.91, 1, 1608230458356000000
SPY, 17, 371.89, 2, 17, 371.91, 1, 1608230458357000000
SPY, 15, 371.89, 1, 17, 371.91, 1, 1608230458356000000
SPY, 2, 371.88, 3, 17, 371.91, 1, 1608230458357000000
SPY, 17, 371.88, 4, 17, 371.91, 1, 1608230458357000000
SPY, 2, 371.88, 3, 17, 371.91, 6, 1608230458357000000
SPY, 2, 371.88, 3, 2, 371.91, 5, 1608230458365000000
SPY, 2, 371.88, 3, 17, 371.9, 2, 1608230458365000000
SPY, 17, 371.88, 4, 17, 371.9, 2, 1608230458365000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230458365000000
SPY, 2, 371.88, 4, 17, 371.9, 2, 1608230458376000000
SPY, 17, 371.88, 4, 17, 371.9, 2, 1608230458365000000
SPY, 2, 371.88, 4, 17, 371.9, 2, 1608230458373000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230458390000000
SPY, 2, 371.88, 2, 2, 371.9, 2, 1608230458390000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230458390000000
SPY, 17, 371.88, 4, 17, 371.9, 2, 1608230458365000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230458450000000
SPY, 2, 371.88, 4, 17, 371.9, 2, 1608230458477000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230458477000000
SPY, 2, 371.88, 3, 17, 371.9, 2, 1608230458478000000
SPY, 2, 371.88, 4, 17, 371.9, 2, 1608230458478000000
SPY, 17, 371.88, 4, 17, 371.9, 2, 1608230458365000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230458478000000
SPY, 2, 371.88, 4, 17, 371.9, 2, 1608230458478000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230458718000000
SPY, 2, 371.88, 2, 2, 371.9, 2, 1608230458726000000
SPY, 17, 371.88, 4, 17, 371.9, 2, 1608230458365000000
SPY, 2, 371.88, 2, 2, 371.9, 2, 1608230458814000000
SPY, 2, 371.88, 2, 17, 371.9, 2, 1608230458814000000
SPY, 2, 371.88, 4, 17, 371.9, 2, 1608230458840000000
SPY, 2, 371.88, 5, 17, 371.9, 2, 1608230458840000000
SPY, 2, 371.88, 4, 17, 371.9, 2, 1608230458840000000
SPY, 2, 371.88, 4, 2, 371.91, 5, 1608230458840000000
SPY, 2, 371.88, 4, 17, 371.9, 2, 1608230458840000000
SPY, 2, 371.88, 4, 15, 371.91, 15, 1608230458840000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458842000000
SPY, 2, 371.88, 4, 2, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458840000000
SPY, 17, 371.89, 2, 2, 371.91, 5, 1608230458848000000
SPY, 15, 371.89, 1, 17, 371.91, 6, 1608230458840000000
SPY, 17, 371.89, 2, 2, 371.91, 5, 1608230458848000000
SPY, 15, 371.89, 1, 3, 371.91, 10, 1608230458840000000
SPY, 15, 371.89, 1, 15, 371.91, 15, 1608230458840000000
SPY, 17, 371.89, 2, 2, 371.91, 5, 1608230459108000000
SPY, 17, 371.89, 2, 17, 371.91, 5, 1608230459733000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 17, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 17, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 15, 371.91, 15, 1608230458840000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 17, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 15, 371.91, 15, 1608230458840000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458840000000
SPY, 17, 371.89, 2, 2, 371.91, 5, 1608230462079000000
SPY, 15, 371.89, 1, 15, 371.91, 15, 1608230458840000000
SPY, 17, 371.89, 2, 2, 371.91, 5, 1608230462079000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 15, 371.91, 15, 1608230458840000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 17, 371.9, 2, 1608230458840000000
SPY, 15, 371.89, 1, 17, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 17, 371.9, 2, 1608230458840000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 3, 371.91, 10, 1608230458840000000
SPY, 15, 371.89, 1, 17, 371.9, 2, 1608230458840000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 17, 371.9, 2, 1608230458840000000
SPY, 15, 371.89, 1, 2, 371.91, 5, 1608230458840000000
SPY, 15, 371.89, 1, 17, 371.9, 2, 1608230458840000000
SPY, 15, 371.89, 1, 2, 371.9, 2, 1608230458840000000
SPY, 17, 371.88, 3, 17, 371.9, 2, 1608230462717000000
SPY, 17, 371.88, 3, 2, 371.9, 2, 1608230462717000000
SPY, 17, 371.88, 3, 2, 371.91, 5, 1608230462815000000
SPY, 2, 371.88, 2, 2, 371.91, 5, 1608230462815000000
SPY, 17, 371.88, 3, 2, 371.91, 5, 1608230462815000000
SPY, 15, 371.88, 1, 17, 371.9, 2, 1608230462718000000
SPY, 15, 371.88, 1, 2, 371.9, 2, 1608230462718000000
SPY, 17, 371.88, 3, 17, 371.9, 2, 1608230462815000000
SPY, 17, 371.88, 3, 2, 371.9, 2, 1608230462815000000
SPY, 17, 371.88, 3, 2, 371.9, 3, 1608230462815000000
SPY, 15, 371.88, 1, 2, 371.9, 3, 1608230462718000000
SPY, 17, 371.88, 2, 2, 371.9, 3, 1608230462816000000
SPY, 17, 371.88, 3, 2, 371.9, 3, 1608230462816000000
SPY, 15, 371.88, 1, 2, 371.9, 2, 1608230462718000000
SPY, 17, 371.88, 3, 17, 371.9, 2, 1608230462816000000
SPY, 15, 371.88, 1, 2, 371.9, 1, 1608230462718000000
